Variable,Scope,Used By,Required,Default/Example,Notes
NEXT_PUBLIC_SUPABASE_URL,web:client|web:server,"lib/supabase/client.tsx; lib/supabase/config.ts",yes,https://<project>.supabase.co,"Browser + server Supabase clients; must match Supabase project URL."
NEXT_PUBLIC_SUPABASE_ANON_KEY,web:client|web:server,"lib/supabase/client.tsx; lib/supabase/config.ts",yes,anon-public-key,"Anon key exposed to browser; keep RLS enabled."
NEXT_PUBLIC_SITE_URL,web:client,"lib/mfa/passkeys.ts",no,https://app.example.com,"Override passkey origin when the canonical host differs from localhost."
NEXT_PUBLIC_BUILD_ID,web:client,"next.config.ts",no,auto,"Injected during build to surface git SHA/version in the UI."
NEXT_PUBLIC_E2E,web:client,"providers/offline-queue-provider.tsx",no,1,"Playwright-only flag to relax offline queue safeguards."
SUPABASE_SERVICE_ROLE_KEY,web:server|supabase:function,"lib/supabase/admin.ts; supabase/functions/_shared/mod.ts",yes,<service-role-key>,"Server-side Supabase access; identical secret must exist in the web runtime and Supabase functions."
SUPABASE_JWT_SECRET,web:server,"src/env.server.ts",conditional,<jwt-secret>,"Optional Supabase JWT secret for server-side token validation."
SUPABASE_URL,supabase:function,"supabase/functions/_shared/mod.ts",yes,https://<project>.supabase.co,"Supabase REST endpoint for edge functions; mirrors NEXT_PUBLIC_SUPABASE_URL."
BACKUP_PEPPER,web:server,"lib/auth/util/crypto.ts; lib/mfa/crypto.ts",yes,<random-base64>,"Global pepper for OTP hashing and rate limit signatures."
RATE_LIMIT_SECRET,web:server,"lib/auth/util/crypto.ts",conditional,<random-base64>,"Optional override for rate limiting HMAC; falls back to BACKUP_PEPPER when unset."
EMAIL_OTP_PEPPER,web:server,"lib/mfa/email.ts",conditional,<random-base64>,"Optional email OTP pepper; defaults to BACKUP_PEPPER."
MFA_SESSION_SECRET,web:server,"lib/mfa/session.ts",yes,<random-string>,"Signs short-lived MFA session cookies."
TRUSTED_COOKIE_SECRET,web:server,"lib/mfa/session.ts",yes,<random-string>,"Signs trusted-device cookies."
MFA_SESSION_TTL_SECONDS,web:server,"lib/mfa/session.ts",no,43200,"Lifetime (seconds) for MFA session cookie; must be positive integer."
TRUSTED_DEVICE_TTL_SECONDS,web:server,"lib/mfa/session.ts",no,2592000,"Lifetime (seconds) for trusted-device cookie; must be positive integer."
